 ,Area,Mean,IntDen,RawIntDen
47,183.355,198.143,36330.441,112347
48,183.355,41.924,7686.996,23771
49,123.53,206.453,25503.131,78865
50,123.53,34.94,4316.113,13347
51,177.211,143.325,25398.68,78542
52,177.211,47.549,8426.236,26057
53,73.73,126.031,9292.239,28735
54,73.73,41.167,3035.217,9386
55,80.198,89.762,7198.696,22261
56,80.198,46.806,3753.761,11608
57,64.029,59.131,3786.098,11708
58,64.029,20.97,1342.661,4152
59,70.82,82.936,5873.497,18163
60,70.82,24.79,1755.614,5429
61,89.252,227.344,20290.939,62747
62,89.252,95.29,8504.816,26300
63,123.207,195.719,24113.903,74569
64,123.207,65.428,8061.143,24928
65,111.242,155.788,17330.099,53591
66,111.242,28.593,3180.737,9836
67,64.999,135.736,8822.696,27283
68,64.999,39.05,2538.186,7849
69,142.933,64.09,9160.625,28328
70,142.933,31.973,4569.964,14132
71,90.222,337.29,30431.073,94104
72,90.222,73.319,6615.001,20456
73,190.469,461.844,87966.964,272026
74,190.469,182.447,34750.42,107461
75,112.212,121.51,13634.87,42164
76,112.212,27.055,3035.864,9388
77,99.6,165.958,16529.418,51115
78,99.6,33.341,3320.759,10269
79,107.361,152.907,16416.236,50765
80,107.361,45.53,4888.167,15116
81,125.47,96.26,12077.809,37349
82,125.47,32.196,4039.626,12492
83,135.172,91.914,12424.146,38420
84,135.172,22.596,3054.296,9445
85,71.466,4.339,310.119,959
86,71.466,3.95,282.308,873
