 ,Area,Mean,IntDen,RawIntDen
1,116.739,65.305,7623.614,23575.000
2,116.739,493.006,57553.029,177975.000
3,61.442,75.268,4624.615,14301.000
4,61.442,623.532,38310.802,118471.000
5,87.959,49.915,4390.490,13577.000
6,87.959,272.688,23985.199,74171.000
7,79.874,38.729,3093.425,9566.000
8,79.874,187.166,14949.721,46230.000
9,79.227,41.216,3265.461,10098.000
10,79.227,407.282,32267.855,99784.000
11,83.108,63.514,5278.483,16323.000
12,83.108,583.661,48506.880,150001.000
13,54.327,67.333,3658.041,11312.000
14,54.327,520.601,28282.880,87461.000
15,65.322,73.772,4818.965,14902.000
16,65.322,684.406,44706.876,138250.000
17,43.979,104.169,4581.283,14167.000
18,43.979,593.228,26089.736,80679.000
19,136.142,43.589,5934.292,18351.000
20,136.142,279.686,38077.000,117748.000
21,78.904,39.270,3098.599,9582.000
22,78.904,127.648,10071.901,31146.000
23,77.934,52.046,4056.118,12543.000
24,77.934,483.606,37689.271,116549.000
25,124.500,36.966,4602.302,14232.000
26,124.500,349.210,43476.750,134446.000
27,126.440,62.118,7854.182,24288.000
28,126.440,415.202,52498.323,162344.000
29,123.853,42.930,5316.965,16442.000
30,123.853,44.702,5536.538,17121.000
31,140.022,200.727,28106.316,86915.000
32,140.022,535.635,75000.838,231930.000
33,117.386,80.601,9461.366,29258.000
34,117.386,405.634,47615.653,147245.000
35,74.700,88.866,6638.284,20528.000
36,74.700,406.515,30366.721,93905.000
37,146.490,79.704,11675.852,36106.000
38,146.490,189.945,27824.978,86045.000
39,122.237,66.209,8093.157,25027.000
40,122.237,306.519,37467.758,115864.000
41,164.922,69.129,11400.981,35256.000
42,164.922,462.635,76298.873,235944.000
43,137.112,109.993,15081.335,46637.000
44,137.112,771.033,105717.776,326918.000
45,108.655,108.381,11776.098,36416.000
46,108.655,607.060,65959.862,203972.000
47,133.231,68.422,9115.999,28190.000
48,133.231,330.539,44038.132,136182.000
49,148.107,68.624,10163.740,31430.000
50,148.107,189.932,28130.246,86989.000
51,104.451,80.557,8414.271,26020.000
52,104.451,377.808,39462.347,122032.000
53,55.297,1.977,109.301,338.000
54,55.297,6.813,376.734,1165.000
