MA1930.2 CTCF
MA1102.3 CTCFL
MA0754.3 CUX1
MA0901.3 HOXB13
MA0755.2 CUX2
MA0639.2 DBP
MA0879.3 DLX1
MA0882.2 DLX6
MA0610.2 DMRT3
MA1707.2 DMRTA1
MA1478.2 DMRTA2
MA1479.2 DMRTC2
MA1480.2 DPRX
MA1481.2 DRGX
MA0864.3 E2F2
MA0469.4 E2F3
MA0756.3 ONECUT2
MA0470.3 E2F4
MA0471.3 E2F6
MA0865.3 E2F8
MA0154.5 EBF1
MA1637.2 EBF3
MA0162.5 EGR1
MA0732.2 EGR3
MA0733.2 EGR4
MA0598.4 EHF
MA0473.4 ELF1
MA1483.3 ELF2
MA0640.3 ELF3
MA0028.3 ELK1
MA0800.2 EOMES
MA1708.2 ETV7
MA1495.2 HOXA1
MA1932.2 ELK1::HOXB13
MA0779.2 PAX1
MA0014.4 PAX5
MA0781.2 PAX9
MA0686.2 SPDEF
MA1933.2 ELK1::SREBF2
MA0828.3 SREBF2
MA0843.2 TEF
MA0759.3 ELK3
MA0076.3 ELK4
MA0612.3 EMX1
MA0886.2 EMX2
MA0027.3 EN1
MA0642.3 EN2
MA0760.2 ERF
MA1934.2 ERF::FIGLA
MA0820.2 FIGLA
MA1935.2 ERF::FOXI1
MA1936.2 ERF::FOXO1
MA1937.2 ERF::HOXB13
MA0058.4 MAX
MA1938.2 ERF::NHLH1
MA0048.3 NHLH1
MA1939.2 ERF::SREBF2
MA0112.4 ESR1
MA0592.4 ESRRA
MA0141.4 ESRRB
MA0644.3 ESX1
MA0098.4 ETS1
MA1484.2 ETS2
MA0761.3 ETV1
MA0762.2 ETV2
MA1940.2 ETV2::DRGX
MA1941.2 ETV2::FIGLA
MA1942.2 ETV2::FOXI1
MA1943.2 ETV2::HOXB13
MA0763.2 ETV3
MA0764.4 ETV4
MA0765.4 ETV5
MA1944.2 ETV5::DRGX
MA1945.2 ETV5::FIGLA
MA1946.2 ETV5::FOXI1
MA1947.2 ETV5::FOXO1
MA1948.2 ETV5::HOXA2
MA0900.3 HOXA2
MA0645.2 ETV6
MA0887.2 EVX1
MA0888.2 EVX2
MA0156.4 FEV
MA0475.3 FLI1
MA1949.2 FLI1::DRGX
MA1950.2 FLI1::FOXI1
MA0476.2 FOS
MA1951.2 FOS
MA0099.4 FOS::JUN
MA1126.2 FOS::JUN
MA1134.2 FOS::JUNB
MA1140.3 JUNB
MA0490.3 JUNB
MA1141.2 FOS::JUND
MA0492.2 JUND
MA0491.3 JUND
MA1135.2 FOSB::JUNB
MA0477.3 FOSL1
MA1128.2 FOSL1::JUN
MA1137.2 FOSL1::JUNB
MA1142.2 FOSL1::JUND
MA1143.2 FOSL1::JUND
MA0478.2 FOSL2
MA1130.2 FOSL2::JUN
MA1131.2 FOSL2::JUN
MA1138.2 FOSL2::JUNB
MA1139.2 FOSL2::JUNB
MA1144.2 FOSL2::JUND
MA1145.2 FOSL2::JUND
MA0148.5 FOXA1
MA0047.4 FOXA2
MA1683.2 FOXA3
MA0846.2 FOXC2
MA0031.2 FOXD1
MA0847.4 FOXD2
MA0041.3 FOXD3
MA1487.3 FOXE1
MA0030.2 FOXF2
MA0479.2 FOXH1
MA1952.2 FOXJ2::ELF1
MA0682.3 PITX1
MA0852.3 FOXK1
MA1103.3 FOXK2
MA1953.2 FOXO1::ELF1
MA1954.2 FOXO1::ELK1
MA1955.2 FOXO1::ELK3
MA1956.2 FOXO1::FLI1
MA0481.4 FOXP1
MA0593.2 FOXP2
MA0062.4 GABPA
MA0035.5 GATA1
MA0140.3 GATA1::TAL1
MA0036.4 GATA2
MA0482.3 GATA4
MA0766.3 GATA5
MA1104.3 GATA6
MA0889.2 GBX1
MA0890.2 GBX2
MA0646.2 GCM1
MA0143.5 SOX2
MA0767.2 GCM2
MA0038.3 GFI1
MA1491.3 GLI3
MA0735.2 GLIS1
MA0647.2 GRHL1
MA1105.3 GRHL2
MA0648.2 GSC
MA0891.2 GSC2
MA0892.2 GSX1
MA0893.3 GSX2
MA0522.4 TCF3
MA1638.2 HAND2
MA1099.3 HES1
MA0616.3 HES2
MA0894.2 HESX1
MA0649.2 HEY2
MA0738.2 HIC2
MA1106.2 HIF1A
MA0131.3 HINFP
MA0043.4 HLF
MA0895.2 HMBOX1
MA0046.3 HNF1A
MA1494.2 HNF4A
MA0114.5 HNF4A
MA0484.3 HNF4G
MA0899.2 HOXA10
MA1496.2 HOXA4
MA1497.2 HOXA6
MA1498.3 HOXA7
MA0594.3 HOXA9
MA0902.3 HOXB2
MA1566.3 TBX3
MA0903.2 HOXB3
MA1499.2 HOXB4
MA0904.3 HOXB5
MA1500.2 HOXB6
MA1501.2 HOXB7
MA1502.2 HOXB8
MA1503.2 HOXB9
MA0905.2 HOXC10
MA0651.3 HOXC11
MA0906.2 HOXC12
MA0907.2 HOXC13
MA1504.2 HOXC4
MA1505.2 HOXC8
MA0485.3 HOXC9
MA1506.2 HOXD10
MA0908.2 HOXD11
MA0873.2 HOXD12
MA1958.2 HOXD12::ELK1
MA1507.2 HOXD4
MA0910.3 HOXD8
MA0913.3 HOXD9
MA1508.2 IKZF1
MA0051.2 IRF2
MA1418.2 IRF3
MA1419.2 IRF4
MA0772.2 IRF7
MA0652.2 IRF8
MA0914.2 ISL2
MA0654.2 ISX
MA0656.2 JDP2
MA1132.2 JUN::JUNB
MA1133.2 JUN::JUNB
MA0493.3 KLF1
MA1512.2 KLF11
MA0657.2 KLF13
MA1513.2 KLF15
MA1514.2 KLF17
MA1515.2 KLF2
MA1516.2 KLF3
MA0039.5 KLF4
MA1517.2 KLF6
MA1959.2 KLF7
MA1107.3 KLF9
MA0618.2 LBX1
MA0699.2 LBX2
MA0700.3 LHX2
MA1519.2 LHX5
MA0658.2 LHX6
MA0701.3 LHX9
MA0702.3 LMX1A
MA0703.3 LMX1B
MA1520.2 MAF
MA0501.2 MAF::NFE2
MA0841.2 NFE2
MA1521.2 MAFA
MA0495.4 MAFF
MA0089.3 MAFG::NFE2L1
MA0059.2 MAX::MYC
MA0147.4 MYC
MA1522.2 MAZ
MA0052.5 MEF2A
MA0497.2 MEF2C
MA0498.3 MEIS1
MA1639.2 MEIS1
MA1640.2 MEIS2
MA0775.2 MEIS3
MA0661.2 MEOX1
MA0706.2 MEOX2
MA1960.2 MGA::EVX1
MA0620.4 MITF
MA0662.2 MIXL1
MA0664.2 MLXIPL
MA0825.2 MNT
MA0707.3 MNX1
MA1523.2 MSANTD3
MA0666.3 MSX1
MA0708.3 MSX2
MA1108.3 MXI1
MA0100.4 MYB
MA0104.5 MYCN
MA1641.2 MYF5
MA0499.3 MYOD1
MA0500.3 MYOG
MA0056.3 MZF1
MA1109.2 NEUROD1
MA1642.2 NEUROG2
MA0625.3 NFATC3
MA1525.3 NFATC4
MA0670.2 NFIA
MA1643.2 NFIB
MA0161.3 NFIC
MA1527.2 NFIC
MA0025.3 NFIL3
MA0671.2 NFIX
MA1528.2 NFIX
MA0778.2 NFKB2
MA0060.4 NFYA
MA0502.3 NFYB
MA1644.2 NFYC
MA1529.2 NHLH2
MA1645.2 NKX2-2
MA0672.2 NKX2-3
MA2003.2 NKX2-4
MA0063.3 NKX2-5
MA0673.2 NKX2-8
MA0674.2 NKX6-1
MA0675.2 NKX6-2
MA1530.2 NKX6-3
MA0710.2 NOTO
MA1531.2 NR1D1
MA1146.2 NR1H4::RXRA
MA1533.2 NR1I2
MA1534.2 NR1I3
MA1535.2 NR2C1
MA0504.2 NR2C2
MA1536.2 NR2C2
MA0017.3 NR2F1
MA1537.2 NR2F1
MA1111.2 NR2F2
MA0113.4 NR3C1
MA0727.2 NR3C2
MA1112.3 NR4A1
MA0160.3 NR4A2
MA1147.2 NR4A2::RXRA
MA1541.2 NR6A1
MA0842.3 NRL
MA0679.3 ONECUT1
MA0757.2 ONECUT3
