Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Coding_UCSCL2_0	0.014259139875316193	0.017450106977404015	0.008640237641558123	1.2237839820627374	0.6059438168858363	0.019585686561381207	1.2169164342431258e-07	2.2528658779802553e-07	0.5401637292913853
Coding_UCSC.flanking.500L2_0	0.04936288396266565	0.0063987604353833325	0.024987084573748534	0.12962695697080565	0.5061917491013466	0.5123442344184792	-1.7046369004556854e-07	6.083750040185188e-08	-2.80195091710868
Intron_UCSCL2_0	0.3874513328700006	-0.12253906799849044	0.18111719127978582	-0.31626957401539074	0.46745791255428476	3.682667416752104e-12	2.498077907330128e-08	7.613282328665993e-09	3.2812101265760414
Intron_UCSC.flanking.500L2_0	0.009340297750823288	0.009866230651416173	0.00589051022166912	1.056307937350983	0.6306555078664284	0.485759002052661	-5.189346573628578e-07	2.1146920560309172e-07	-2.4539490555275005
Promoter_UCSCL2_0	0.04633528479948278	-0.01544592525321007	0.023614572588809543	-0.33335125315518693	0.5096455690517983	0.872799334237166	-1.4102543263818044e-07	5.732427398450274e-08	-2.4601346486534794
Promoter_UCSC.flanking.500L2_0	0.010589886966611695	-0.005574416727841433	0.005140559435802634	-0.5263905786168184	0.4854215585123842	0.4600764884780204	8.122282539908132e-08	2.074513290382896e-07	0.3915271392842699
UTR_3_UCSCL2_0	0.011168130224340602	0.004882832393305438	0.006043209642844232	0.4372112694982238	0.5411120323143475	0.0015360626439279096	2.5882662008797863e-07	2.1904345803077748e-07	1.1816222333908337
UTR_3_UCSC.flanking.500L2_0	0.015275217453518687	-0.001739456894134666	0.008017446188290303	-0.11387444397617905	0.5248662555990954	0.9282627725819856	1.915826688863391e-08	1.0325643284436465e-07	0.1855406618347023
UTR_5_UCSCL2_0	0.0054601798073159935	0.0015652083998672216	0.0030011862979989383	0.2866587649311526	0.5496497192231115	0.6843762003866192	-1.3685245497317624e-07	1.627098204684732e-07	-0.8410829449577869
UTR_5_UCSC.flanking.500L2_0	0.02138728391576202	-0.0001402869965210195	0.010956785305050355	-0.006559364764294856	0.5123037290852727	0.007204007729698755	2.7756421158033836e-07	9.290601482818937e-08	2.9875806436605474
