Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Coding_UCSCL2_0	0.014259139875316193	0.0731378653602303	0.047157490768401734	5.129191942835085	3.307176392177444	0.1958817650192702	9.674354007475556e-07	3.3003947109074497e-07	2.931271818944218
Coding_UCSC.flanking.500L2_0	0.04936288396266565	-0.006814377339966362	0.06323349795561309	-0.13804658060741024	1.2809927799890728	0.3677155276444929	-1.7070613318655154e-07	1.1059867868060703e-07	-1.5434735317184587
Intron_UCSCL2_0	0.3874513328700006	0.397027156232581	0.04879743717451046	1.0247149062351872	0.12594468784775917	0.8457717516595313	-4.129431364494928e-09	1.3503668618467373e-08	-0.3058007035841795
Intron_UCSC.flanking.500L2_0	0.009340297750823288	0.004266136106795465	0.04536454440873304	0.45674519384774775	4.856862770218909	0.9107667855492314	-3.387983250268236e-07	4.509073945225651e-07	-0.7513700798487767
Promoter_UCSCL2_0	0.04633528479948278	0.10262199281250563	0.056026782210108414	2.2147698726058365	1.2091601994584873	0.3213037273322745	6.160867319750819e-08	1.1120798602291005e-07	0.553995044787666
Promoter_UCSC.flanking.500L2_0	0.010589886966611695	-0.043428755291474344	0.05027326984638586	-4.100964951599447	4.747290505072419	0.28300773537352236	-3.992707754219482e-07	3.5242581895771565e-07	-1.1329214658641484
UTR_3_UCSCL2_0	0.011168130224340602	0.02029297258715159	0.032440223929402566	1.81704297671276	2.9047139742962598	0.7795344447843576	-5.768470776554224e-07	2.5779978079434076e-07	-2.2375778438524
UTR_3_UCSC.flanking.500L2_0	0.015275217453518687	0.061093352908405035	0.03551044263167632	3.999507901887971	2.3247094674581144	0.1987453816816318	3.0591038532928886e-07	1.809120475494905e-07	1.6909342936136063
UTR_5_UCSCL2_0	0.0054601798073159935	-0.008915613909251142	0.02643231512379133	-1.6328425480247513	4.840923935943494	0.5848052033204645	-4.370359571191316e-07	3.71218299233687e-07	-1.177301760234647
UTR_5_UCSC.flanking.500L2_0	0.02138728391576202	0.02975698944814369	0.0428775476446257	1.3913402732832925	2.004815001919237	0.844089753172897	9.334769854864735e-08	1.6129034835617736e-07	0.5787556385116591
