 ,Area,Mean,IntDen,RawIntDen
1,175.03,1470.75,257421.47,3184165.00
2,175.03,1614.75,282626.60,3495939.00
3,177.78,879.75,156398.07,1934560.00
4,177.78,1155.94,205499.89,2541923.00
5,193.95,506.84,98299.67,1215914.00
6,193.95,562.43,109080.33,1349265.00
7,134.12,293.39,39349.89,486737.00
8,134.12,550.66,73855.36,913551.00
9,218.93,168.30,36845.42,455758.00
10,218.93,316.07,69195.33,855909.00
11,153.28,198.85,30480.47,377027.00
12,153.28,229.84,35230.39,435781.00
13,197.18,1601.72,315826.03,3906598.00
14,197.18,2031.86,400640.39,4955706.00
15,145.60,1115.11,162360.82,2008316.00
16,145.60,612.40,89165.88,1102934.00
17,207.93,856.64,178122.14,2203275.00
18,207.93,743.95,154689.83,1913430.00
19,195.40,297.43,58118.05,718889.00
20,195.40,291.11,56882.26,703603.00
21,148.51,237.97,35341.80,437159.00
22,148.51,241.28,35833.41,443240.00
23,131.45,177.38,23317.02,288419.00
24,131.45,272.35,35801.80,442849.00
25,181.90,161.87,29444.61,364214.00
26,181.90,174.09,31667.67,391712.00
27,153.04,219.74,33628.71,415969.00
28,153.04,313.85,48030.63,594113.00
29,163.47,164.40,26873.68,332413.00
30,163.47,276.64,45220.72,559356.00
31,203.08,394.29,80073.49,990466.00
32,203.08,505.55,102667.60,1269943.00
33,136.95,339.69,46521.26,575443.00
34,136.95,438.89,60106.66,743487.00
35,188.53,290.30,54730.59,676988.00
36,188.53,558.78,105346.22,1303076.00
37,188.12,1104.34,207753.02,2569793.00
38,188.12,575.06,108183.28,1338169.00
39,220.54,267.86,59074.68,730722.00
40,220.54,495.42,109260.94,1351499.00
41,218.68,452.41,98935.27,1223776.00
42,218.68,645.53,141167.10,1746161.00
43,65.16,22.35,1456.57,18017.00
44,65.16,16.85,1098.19,13584.00
