 ,Area,Mean,IntDen,RawIntDen
1,219.90,1076.88,236802.62,2929121
2,219.90,870.15,191343.73,2366819
3,138.97,1210.69,168251.14,2081176
4,138.97,1620.92,225261.62,2786365
5,238.98,841.19,201024.19,2486561
6,238.98,1596.86,381611.27,4720326
7,175.43,946.51,166047.64,2053920
8,175.43,1012.66,177652.76,2197469
9,226.20,451.82,102203.64,1264204
10,226.20,419.77,94952.07,1174506
11,205.10,358.12,73452.10,908563
12,205.10,576.44,118229.80,1462439
13,191.44,1304.73,249777.16,3089609
14,191.44,1455.88,278711.64,3447513
15,255.31,1475.71,376757.54,4660288
16,255.31,1533.50,391511.21,4842783
17,188.77,740.71,139823.95,1729547
18,188.77,579.60,109411.95,1353367
19,198.31,1720.14,341122.44,4219501
20,198.31,1640.59,325346.49,4024361
21,251.67,1707.78,429794.45,5316326
22,251.67,1876.22,472183.68,5840658
23,284.73,317.03,90267.95,1116566
24,284.73,413.16,117639.80,1455141
25,195.08,294.00,57351.73,709410.00
26,195.08,440.24,85881.67,1062310
27,197.18,409.11,80668.18,997822.00
28,197.18,614.19,121106.32,1498020
29,212.46,415.07,88185.32,1090805
30,212.46,358.35,76134.60,941744
31,275.03,1220.69,335729.72,4152796
32,275.03,2128.40,585377.69,7240807
33,196.94,1853.92,365105.29,4516156
34,196.94,1640.41,323056.50,3996035
35,205.18,382.96,78576.18,971945.00
36,205.18,164.38,33727.98,417197
37,241.00,362.75,87421.43,1081356
38,241.00,534.82,128890.57,1594307
39,244.96,723.75,177288.88,2192968
40,244.96,907.12,222205.95,2748568
41,230.97,1706.88,394241.24,4876552
42,230.97,1241.24,286692.59,3546233
43,193.54,1425.57,275906.75,3412818.00
44,193.54,2463.77,476840.79,5898264
45,253.12,1075.39,272206.02,3367042.00
46,253.12,1515.31,383561.39,4744448
47,248.19,1801.99,447239.18,5532108
48,248.19,2206.81,547711.62,6774898
49,173.82,494.75,85995.58,1063719
50,173.82,1108.09,192603.12,2382397
51,209.06,548.55,114682.11,1418556.00
52,209.06,673.60,140825.04,1741930
53,247.46,1775.14,439283.94,5433706
54,247.46,2232.25,552402.93,6832927
55,193.30,1173.46,226828.70,2805749
56,193.30,401.77,77660.69,960621
57,215.53,509.79,109875.11,1359096
58,215.53,1095.71,236158.21,2921150
59,224.26,499.94,112118.46,1386845
60,224.26,572.58,128408.66,1588346
61,76.16,37.90,2886.22,35701
62,76.16,35.91,2734.72,33827
