 ,Area,Mean,IntDen,RawIntDen
1,203.57,1268.48,258219.08,3194031.00
2,203.57,1874.10,381503.26,4718990.00
3,134.52,1275.77,171623.07,2122885.00
4,134.52,2309.12,310634.05,3842376.00
5,117.95,713.57,84166.39,1041093.00
6,117.95,1547.22,182497.83,2257400.00
7,149.08,343.79,51250.65,633943.00
8,149.08,1079.28,160896.25,1990200.00
9,148.51,462.88,68743.33,850318.00
10,148.51,1068.00,158610.30,1961924.00
11,113.42,434.73,49308.61,609921.00
12,113.42,1004.96,113986.77,1409955.00
13,203.00,732.30,148657.48,1838813.00
14,203.00,1408.76,285978.08,3537395.00
15,170.66,477.63,81513.33,1008276.00
16,170.66,458.51,78250.21,967913.00
17,245.28,351.04,86102.78,1065045.00
18,245.28,348.44,85464.67,1057152.00
19,137.11,731.40,100283.67,1240455.00
20,137.11,1237.26,169642.63,2098388.00
21,154.41,513.89,79350.50,981523.00
22,154.41,760.59,117444.40,1452724.00
23,131.29,361.72,47490.51,587432.00
24,131.29,823.01,108054.26,1336573.00
25,104.05,367.55,38242.49,473039.00
26,104.05,673.99,70126.58,867428.00
27,210.84,464.94,98028.52,1212560.00
28,210.84,455.91,96123.91,1189001.00
29,154.33,1060.84,163721.03,2025141.00
30,154.33,1553.26,239717.62,2965178.00
31,199.85,522.93,104505.76,1292680.00
32,199.85,966.36,193125.05,2388853.00
33,202.03,248.63,50230.32,621322.00
34,202.03,349.86,70682.14,874300.00
35,222.56,769.11,171175.68,2117351.00
36,222.56,1216.53,270755.84,3349104.00
37,139.54,1429.67,199491.94,2467608.00
38,139.54,1821.01,254098.85,3143066.00
39,195.56,587.59,114910.01,1421375.00
40,195.56,619.66,121182.80,1498966.00
41,139.54,963.82,134488.63,1663552.00
42,139.54,593.15,82766.66,1023779.00
43,125.47,601.10,75420.58,932912.00
44,125.47,1056.59,132570.36,1639824.00
45,144.31,517.29,74648.60,923363.00
46,144.31,870.77,125658.66,1554330.00
47,203.08,541.21,109909.39,1359520.00
48,203.08,602.73,122403.87,1514070.00
49,176.73,489.19,86452.91,1069376.00
50,176.73,432.21,76381.90,944803.00
51,175.19,297.07,52043.41,643749.00
52,175.19,439.46,76989.04,952313.00
53,192.01,366.33,70337.58,870038.00
54,192.01,940.43,180567.19,2233519.00
55,214.32,333.17,71404.72,883238.00
56,214.32,920.55,197291.12,2440385.00
57,190.23,328.55,62499.65,773087.00
58,190.23,429.85,81769.44,1011444.00
59,175.67,1840.41,323313.82,3999218.00
60,175.67,2089.04,366990.50,4539475.00
61,154.01,1191.56,183509.44,2269913.00
62,154.01,1704.13,262449.90,3246364.00
63,154.57,818.36,126497.90,1564711.00
64,154.57,1485.04,229549.68,2839406.00
65,130.24,321.40,41858.65,517769.00
66,130.24,1327.89,172945.03,2139237.00
67,112.45,634.05,71301.40,881960.00
68,112.45,1089.54,122523.12,1515545.00
69,104.77,562.97,58984.94,729612.00
70,104.77,885.38,92765.07,1147454.00
71,102.91,471.41,48515.53,600111.00
72,102.91,1091.02,112282.09,1388869.00
73,111.73,791.63,88446.13,1094031.00
74,111.73,1616.66,180624.03,2234222.00
75,130.89,489.48,64066.65,792470.00
76,130.89,598.77,78371.48,969413.00
77,135.41,339.37,45955.19,568441.00
78,135.41,551.89,74733.16,924409.00
79,132.02,354.13,46752.40,578302.00
80,132.02,302.15,39889.37,493410.00
81,261.77,312.89,81906.47,1013139.00
82,261.77,549.38,143813.53,1778896.00
83,127.81,386.20,49361.48,610575.00
84,127.81,442.12,56509.01,698986.00
85,181.33,864.36,156737.54,1938759.00
86,181.33,556.38,100890.73,1247964.00
87,44.63,82.63,3687.31,45610.00
88,44.63,87.23,3892.57,48149.00
