 ,Area,Mean,IntDen,RawIntDen
1,193.46,1680.95,325196.69,4022508.00
2,193.46,1575.17,304732.34,3769375.00
3,268.89,1377.27,370331.55,4580802.00
4,268.89,1699.29,456919.55,5651849.00
5,212.94,853.40,181726.50,2247859.00
6,212.94,839.80,178831.06,2212044.00
7,129.19,836.12,108017.55,1336119.00
8,129.19,1169.41,151074.80,1868714.00
9,198.63,655.02,130109.46,1609384.00
10,198.63,1868.54,371157.05,4591013.00
11,156.84,555.95,87194.33,1078547.00
12,156.84,614.78,96421.01,1192676.00
13,225.88,354.61,80098.39,990774.00
14,225.88,350.64,79201.34,979678.00
15,237.76,726.36,172701.69,2136227.00
16,237.76,1215.44,288986.95,3574613.00
17,198.80,1503.02,298794.73,3695930.00
18,198.80,1260.23,250528.44,3098902.00
19,165.33,1147.45,189704.21,2346539.00
20,165.33,872.67,144274.91,1784603.00
21,188.37,286.31,53930.80,667095.00
22,188.37,1031.98,194391.56,2404519.00
23,145.36,509.21,74017.21,915553.00
24,145.36,525.96,76452.72,945679.00
25,182.14,494.00,89977.40,1112972.00
26,182.14,841.84,153333.99,1896659.00
27,198.47,263.20,52238.97,646168.00
28,198.47,547.50,108663.26,1344106.00
29,160.40,349.04,55984.25,692495.00
30,160.40,830.05,133136.11,1646822.00
31,170.10,275.33,46832.11,579288.00
32,170.10,414.96,70582.62,873069.00
33,240.19,712.00,171015.20,2115366.00
34,240.19,913.05,219303.07,2712661.00
35,156.60,762.00,119325.16,1475988.00
36,156.60,1448.99,226905.83,2806703.00
37,200.01,743.84,148773.97,1840254.00
38,200.01,780.75,156156.91,1931577.00
39,228.71,564.49,129102.54,1596929.00
40,228.71,718.45,164316.04,2032501.00
41,224.18,1226.91,275050.69,3402229.00
42,224.18,1604.92,359792.94,4450445.00
43,174.62,1126.34,196684.79,2432885.00
44,174.62,1689.51,295029.16,3649352.00
45,179.15,515.36,92326.89,1142034.00
46,179.15,655.34,117404.54,1452231.00
47,211.41,616.89,130414.49,1613157.00
48,211.41,1764.78,373087.45,4614891.00
49,91.11,32.80,2988.25,36963.00
50,91.11,51.25,4669.24,57756.00
