 ,Area,Mean,IntDen,RawIntDen
1,213.11,886.32,188880.65,2336352.00
2,213.11,1825.93,389115.63,4813151.00
3,246.01,1147.32,282252.05,3491306.00
4,246.01,1915.99,471350.26,5830349.00
5,243.75,1476.30,359840.72,4451036.00
6,243.75,2026.65,493985.60,6110336.00
7,266.14,252.12,67100.09,829992.00
8,266.14,703.96,187350.11,2317420.00
9,205.75,809.48,166549.20,2060124.00
10,205.75,1648.08,339089.37,4194353.00
11,192.17,387.38,74441.56,920802.00
12,192.17,507.43,97510.39,1206151.00
13,203.32,1039.04,211261.98,2613197.00
14,203.32,1470.93,299074.94,3699396.00
15,235.34,672.40,158241.56,1957363.00
16,235.34,1505.63,354330.94,4382883.00
17,205.91,542.84,111776.49,1382615.00
18,205.91,802.65,165273.24,2044341.00
19,230.00,575.69,132409.40,1637833.00
20,230.00,1130.19,259946.23,3215395.00
21,190.31,488.23,92914.23,1149299.00
22,190.31,775.42,147567.54,1825331.00
23,245.04,643.03,157567.08,1949020.00
24,245.04,1049.84,257251.21,3182059.00
25,174.70,487.06,85091.66,1052538.00
26,174.70,734.62,128340.67,1587505.00
27,194.11,312.12,60583.80,749389.00
28,194.11,767.45,148967.60,1842649.00
29,252.64,257.04,64936.94,803235.00
30,252.64,342.78,86598.67,1071179.00
31,234.53,553.46,129802.74,1605590.00
32,234.53,2157.78,506063.57,6259734.00
33,298.32,848.39,253086.43,3130543.00
34,298.32,2071.17,617862.45,7642626.00
35,270.67,263.30,71267.69,881543.00
36,270.67,851.39,230443.66,2850464.00
37,161.61,514.15,83091.08,1027792.00
38,161.61,776.16,125432.94,1551538.00
39,195.97,333.54,65362.34,808497.00
40,195.97,334.86,65620.80,811694.00
41,269.29,412.01,110951.96,1372416.00
42,269.29,1108.38,298478.39,3692017.00
43,202.51,597.60,121023.70,1496998.00
44,202.51,1003.13,203149.42,2512849.00
45,215.61,564.28,121666.00,1504943.00
46,215.61,1390.87,299888.79,3709463.00
47,210.60,228.88,48201.69,596229.00
48,210.60,540.00,113722.97,1406692.00
49,280.69,188.23,52834.15,653530.00
50,280.69,505.35,141847.08,1754572.00
51,56.03,40.17,2250.30,27835.00
52,56.03,59.27,3320.68,41075.00
