 ,Area,Mean,IntDen,RawIntDen
1,210.20,1141.33,239901.30,2967450.00
2,210.20,1957.17,411387.10,5088637.00
3,158.29,1568.79,248329.07,3071697.00
4,158.29,3187.64,504581.05,6241396.00
5,163.06,1333.71,217478.01,2690086.00
6,163.06,3107.98,506795.61,6268789.00
7,173.01,1431.77,247705.28,3063981.00
8,173.01,1894.27,327720.72,4053729.00
9,148.19,548.68,81307.98,1005736.00
10,148.19,655.67,97161.70,1201838.00
11,210.03,700.84,147199.05,1820773.00
12,210.03,709.95,149113.12,1844449.00
13,189.01,544.05,102833.17,1271991.00
14,189.01,1479.76,279695.35,3459681.00
15,199.12,1176.07,234179.14,2896670.00
16,199.12,1563.99,311420.74,3852107.00
17,173.41,584.79,101408.37,1254367.00
18,173.41,924.38,160297.03,1982788.00
19,231.13,1359.46,314217.87,3886706.00
20,231.13,1988.71,459657.51,5685716.00
21,226.12,470.74,106444.97,1316667.00
22,226.12,521.70,117967.30,1459192.00
23,166.30,425.98,70839.30,876244.00
24,166.30,1124.99,187081.46,2314097.00
25,170.50,962.43,164094.61,2029762.00
26,170.50,1623.53,276812.77,3424025.00
27,206.40,451.92,93275.12,1153763.00
28,206.40,677.48,139828.15,1729599.00
29,178.42,1055.91,188398.41,2330387.00
30,178.42,1316.43,234881.68,2905360.00
31,190.63,1556.20,296659.63,3669520.00
32,190.63,1990.06,379365.82,4692551.00
33,196.21,1024.92,201098.72,2487483.00
34,196.21,1652.26,324187.51,4010025.00
35,187.64,721.66,135412.52,1674980.00
36,187.64,1075.60,201825.03,2496467.00
37,222.97,626.23,139629.03,1727136.00
38,222.97,1523.92,339785.19,4202960.00
39,228.14,1380.57,314965.68,3895956.00
40,228.14,2367.39,540103.37,6680788.00
41,253.69,1949.44,494552.64,6117350.00
42,253.69,1059.83,268866.26,3325731.00
43,173.49,291.08,50499.93,624657.00
44,173.49,493.58,85631.78,1059219.00
45,233.40,351.84,82119.42,1015773.00
46,233.40,770.80,179903.30,2225307.00
47,133.88,219.47,29382.68,363448.00
48,133.88,253.49,33936.32,419774.00
49,253.12,616.82,156132.10,1931270.00
50,253.12,2034.56,514995.57,6370218.00
51,246.90,727.23,179551.06,2220950.00
52,246.90,1229.30,303512.80,3754290.00
53,181.50,288.22,52310.68,647055.00
54,181.50,460.85,83642.12,1034608.00
55,190.39,342.45,65199.28,806480.00
56,190.39,484.99,92335.63,1142142.00
57,182.95,360.23,65903.84,815195.00
58,182.95,467.12,85459.74,1057091.00
59,213.91,1159.67,248069.56,3068487.00
60,213.91,1830.12,391488.82,4842506.00
61,236.15,884.37,208840.61,2583246.00
62,236.15,1178.98,278412.52,3443813.00
63,216.42,817.63,176952.40,2188806.00
64,216.42,1760.99,381114.56,4714182.00
65,186.59,1263.98,235843.97,2917263.00
66,186.59,1624.73,303156.28,3749880.00
67,51.42,39.87,2049.97,25357.00
68,51.42,62.91,3234.42,40008.00
