 ,Area,Mean,IntDen,RawIntDen
1,193.945,788.592,152943.840,1891833
2,193.945,1369.311,265571.456,3284976
3,122.883,1009.549,124056.650,1534514
4,122.883,1376.739,169178.176,2092643
5,175.109,658.961,115389.741,1427309
6,175.109,1332.236,233286.058,2885623
7,185.861,632.769,117606.976,1454735
8,185.861,1876.731,348811.052,4314605
9,179.393,792.612,142189.290,1758805
10,179.393,1662.694,298276.275,3689517
11,90.222,1127.336,101710.730,1258107
12,90.222,1524.939,137583.350,1701832
13,121.994,1358.429,165720.144,2049869
14,121.994,2733.089,333420.487,4124232
15,163.386,1582.949,258632.109,3199140
16,163.386,2227.667,363970.159,4502115
17,205.749,729.348,150062.308,1856190
18,205.749,1250.944,257380.073,3183653
19,188.367,1180.073,222286.873,2749569
20,188.367,1450.331,273194.666,3379271
21,203.889,1449.290,295494.585,3655109
22,203.889,1705.380,347708.579,4300968
23,156.514,461.175,72180.505,892834
24,156.514,733.720,114837.736,1420481
25,281.500,2385.938,671640.860,8307836
26,281.500,2454.939,691064.745,8548099
27,123.530,1812.512,223899.716,2769519
28,123.530,3235.576,399690.792,4943960
29,189.984,1011.268,192124.769,2376480
30,189.984,1678.870,318958.500,3945345
31,195.481,213.697,41773.846,516720
32,195.481,340.804,66620.845,824064
33,216.178,560.391,121143.912,1498485
34,216.178,497.191,107481.636,1329490
35,198.715,547.392,108775.144,1345490
36,198.715,798.572,158688.472,1962891
37,228.385,752.247,171801.977,2125098
38,228.385,1194.361,272774.276,3374071
39,233.640,519.608,121401.159,1501667
40,233.640,1096.429,256169.511,3168679
41,242.775,3026.095,734661.064,9087362
42,242.775,2583.902,627307.565,7759457.000
43,236.712,2622.317,620733.957,7678145
44,236.712,2655.622,628617.566,7775661
45,32.580,45.074,1468.536,18165
46,32.580,26.799,873.118,10800
