 ,Area,Mean,IntDen,RawIntDen
1,174.30,932.70,162570.45,2010909.00
2,174.30,716.27,124846.50,1544284.00
3,215.45,1005.63,216662.94,2680004.00
4,215.45,623.62,134359.20,1661951.00
5,181.90,1312.76,238790.02,2953704.00
6,181.90,614.62,111798.48,1382887.00
7,186.91,826.77,154534.05,1911503.00
8,186.91,904.85,169127.81,2092020.00
9,182.22,997.75,181812.92,2248928.00
10,182.22,846.21,154199.76,1907368.00
11,129.43,469.22,60731.66,751218.00
12,129.43,499.13,64603.86,799115.00
13,133.47,310.94,41502.45,513363.00
14,133.47,332.80,44420.61,549459.00
15,107.52,2693.92,289658.36,3582918.00
16,107.52,1951.57,209838.55,2595590.00
17,172.44,1113.64,192037.38,2375399.00
18,172.44,1191.65,205489.70,2541797.00
19,153.52,1010.05,155065.92,1918082.00
20,153.52,763.82,117264.36,1450497.00
21,199.44,2034.76,405817.25,5019741.00
22,199.44,831.32,165801.39,2050874.00
23,131.45,885.75,116434.49,1440232.00
24,131.45,692.63,91048.10,1126216.00
25,177.78,352.68,62697.63,775536.00
26,177.78,218.46,38836.53,480387.00
27,145.68,445.64,64921.18,803040.00
28,145.68,355.88,51844.86,641293.00
29,205.10,300.22,61576.08,761663.00
30,205.10,191.51,39279.96,485872.00
31,168.32,435.20,73251.85,906086.00
32,168.32,356.02,59925.32,741244.00
33,176.48,1884.38,332560.95,4113600.00
34,176.48,1186.24,209351.39,2589564.00
35,138.08,1161.92,160440.69,1984565.00
36,138.08,1017.63,140516.70,1738116.00
37,148.27,1419.40,210452.41,2603183.00
38,148.27,1243.22,184329.68,2280059.00
39,180.53,282.14,50932.53,630008.00
40,180.53,277.17,50036.29,618922.00
41,152.63,1977.46,301828.17,3733452.00
42,152.63,1455.03,222086.86,2747095.00
43,138.97,1492.59,207427.70,2565769.00
44,138.97,1118.18,155395.04,1922153.00
45,128.78,931.87,120010.48,1484465.00
46,128.78,744.87,95928.59,1186585.00
47,162.74,388.74,63263.63,782537.00
48,162.74,283.34,46110.82,570366.00
49,180.44,286.58,51711.14,639639.00
50,180.44,130.38,23526.81,291014.00
51,196.45,267.88,52626.14,650957.00
52,196.45,254.15,49927.39,617575.00
53,196.94,1104.29,217475.91,2690060.00
54,196.94,831.88,163828.23,2026467.00
55,217.23,643.92,139878.44,1730221.00
56,217.23,371.59,80720.65,998471.00
57,214.56,371.08,79618.90,984843.00
58,214.56,371.10,79624.08,984907.00
59,43.74,66.53,2909.99,35995.00
60,43.74,33.01,1443.88,17860.00
