 ,Area,Mean,IntDen,RawIntDen
1,124.10,2129.80,264300.02,3269249.00
2,124.10,1353.29,167938.03,2077303.00
3,206.96,891.68,184543.44,2282703.00
4,206.96,1482.98,306919.09,3796424.00
5,181.01,816.76,147842.81,1828736.00
6,181.01,1135.32,205504.41,2541979.00
7,216.50,515.12,111523.93,1379491.00
8,216.50,628.27,136020.95,1682506.00
9,137.19,582.47,79910.19,988446.00
10,137.19,555.54,76215.93,942750.00
11,89.17,390.37,34809.84,430579.00
12,89.17,1206.86,107617.13,1331166.00
13,126.04,239.60,30197.92,373532.00
14,126.04,401.67,50625.16,626206.00
15,206.40,372.09,76797.68,949946.00
16,206.40,1169.68,241416.73,2986195.00
17,209.22,1523.68,318791.64,3943281.00
18,209.22,1732.72,362528.38,4484281.00
19,138.24,379.91,52519.99,649644.00
20,138.24,1193.22,164954.63,2040400.00
21,219.41,882.18,193560.48,2394239.00
22,219.41,1213.08,266162.59,3292288.00
23,220.46,199.90,44071.44,545140.00
24,220.46,189.76,41834.72,517473.00
25,208.82,330.62,69039.71,853984.00
26,208.82,157.63,32916.95,407165.00
27,209.47,1013.73,212342.95,2626568.00
28,209.47,1325.05,277554.60,3433201.00
29,189.90,708.13,134476.02,1663396.00
30,189.90,911.47,173091.28,2141046.00
31,236.23,1344.80,317676.96,3929493.00
32,236.23,1463.35,345682.14,4275902.00
33,146.89,1117.56,164162.52,2030602.00
34,146.89,1397.18,205238.11,2538685.00
35,209.87,866.08,181766.52,2248354.00
36,209.87,1172.32,246037.30,3043349.00
37,163.14,1279.31,208711.75,2581652.00
38,163.14,1892.22,308704.29,3818506.00
39,180.77,891.53,161160.37,1993467.00
40,180.77,747.70,135159.32,1671848.00
41,165.65,960.53,159111.85,1968128.00
42,165.65,1754.28,290595.67,3594512.00
43,188.21,368.03,69265.34,856775.00
44,188.21,702.85,132281.10,1636246.00
45,105.02,342.99,36020.08,445549.00
46,105.02,552.87,58060.41,718176.00
47,148.92,346.23,51558.43,637750.00
48,148.92,338.33,50382.63,623206.00
49,212.54,461.65,98119.30,1213683.00
50,212.54,1045.61,222234.41,2748920.00
51,203.65,260.24,52997.78,655554.00
52,203.65,569.85,116049.03,1435464.00
53,158.70,373.51,59275.66,733208.00
54,158.70,931.39,147809.42,1828323.00
55,225.23,223.09,50247.05,621529.00
56,225.23,391.24,88120.24,1090000.00
57,81.33,8.43,685.88,8484.00
58,81.33,8.61,700.35,8663.00
