 ,Area,Mean,IntDen,RawIntDen
1,205.67,353.35,72673.25,898929.00
2,205.67,173.68,35720.55,441844.00
3,84.00,391.16,32856.16,406413.00
4,84.00,360.33,30266.80,374384.00
5,169.69,187.20,31766.54,392935.00
6,169.69,312.06,52954.45,655018.00
7,133.96,793.53,106300.10,1314875.00
8,133.96,1038.38,139100.07,1720593.00
9,95.80,417.86,40031.33,495166.00
10,95.80,207.47,19876.05,245856.00
11,200.66,279.15,56013.67,692859.00
12,200.66,524.36,105215.33,1301457.00
13,118.36,280.45,33193.04,410580.00
14,118.36,584.13,69135.26,855166.00
15,233.15,357.58,83372.50,1031273.00
16,233.15,733.78,171084.40,2116222.00
17,194.19,446.83,86768.20,1073276.00
18,194.19,668.18,129752.45,1604968.00
19,246.33,190.39,46900.26,580131.00
20,246.33,381.49,93974.34,1162412.00
21,190.79,241.27,46032.40,569396.00
22,190.79,435.23,83039.34,1027152.00
23,224.50,236.34,53060.51,656330.00
24,224.50,384.69,86364.15,1068278.00
25,254.50,526.16,133907.60,1656365.00
26,254.50,973.86,247845.62,3065717.00
27,131.61,241.25,31752.63,392763.00
28,131.61,334.55,44031.66,544648.00
29,260.16,160.75,41820.33,517295.00
30,260.16,327.25,85136.85,1053097.00
31,51.01,27.70,1413.16,17480.00
32,51.01,40.72,2077.45,25697.00
