 ,Area,Mean,IntDen,RawIntDen
1,202.35,1971.27,398892.54,4934086.00
2,202.35,1433.48,290069.53,3588004.00
3,79.31,806.82,63987.50,791491.00
4,79.31,639.18,50692.34,627037.00
5,212.46,1174.47,249525.57,3086497.00
6,212.46,1681.99,357352.57,4420259.00
7,181.41,354.00,64220.98,794379.00
8,181.41,286.06,51896.03,641926.00
9,185.54,246.67,45767.15,566115.00
10,185.54,149.04,27653.18,342055.00
11,177.70,261.92,46542.61,575707.00
12,177.70,169.10,30048.60,371685.00
13,182.79,297.41,54362.91,672440.00
14,182.79,114.90,21002.61,259791.00
15,199.69,217.01,43333.25,536009.00
16,199.69,303.06,60515.65,748546.00
17,178.91,262.17,46904.38,580182.00
18,178.91,141.42,25300.78,312957.00
19,191.84,369.18,70824.99,876067.00
20,191.84,261.32,50132.98,620118.00
21,247.06,288.19,71199.94,880705.00
22,247.06,569.21,140628.75,1739502.00
23,176.64,829.97,146610.10,1813488.00
24,176.64,588.25,103911.47,1285329.00
25,152.23,484.69,73784.86,912679.00
26,152.23,540.77,82320.72,1018263.00
27,232.27,755.39,175451.77,2170244.00
28,232.27,797.73,185284.94,2291875.00
29,239.14,825.97,197519.59,2443211.00
30,239.14,1031.24,246607.82,3050406.00
31,205.02,210.76,43209.56,534479.00
32,205.02,419.19,85941.90,1063055.00
33,229.92,353.68,81318.65,1005868.00
34,229.92,331.49,76217.62,942771.00
35,212.38,345.26,73324.69,906987.00
36,212.38,233.08,49501.99,612313.00
37,209.95,425.16,89262.90,1104134.00
38,209.95,456.12,95764.31,1184553.00
39,144.39,949.63,137114.45,1696032.00
40,144.39,1021.43,147482.41,1824278.00
41,134.28,881.91,118425.04,1464854.00
42,134.28,797.40,107076.20,1324475.00
43,99.76,532.45,53117.99,657041.00
44,99.76,670.08,66848.34,826878.00
45,313.03,325.70,101953.83,1261114.00
46,313.03,149.93,46933.73,580545.00
47,232.83,1029.14,239615.11,2963910.00
48,232.83,207.60,48336.95,597902.00
49,214.24,403.16,86371.02,1068363.00
50,214.24,377.02,80772.55,999113.00
51,189.82,380.66,72258.36,893797.00
52,189.82,378.75,71895.04,889303.00
53,290.31,281.37,81684.48,1010393.00
54,290.31,443.62,128787.17,1593028.00
55,235.18,616.96,145094.11,1794736.00
56,235.18,528.47,124284.47,1537332.00
57,279.24,1203.39,336030.06,4156511.00
58,279.24,220.82,61661.62,762721.00
59,236.71,1506.58,356626.35,4411276.00
60,236.71,1758.01,416141.55,5147447.00
61,257.49,1105.64,284690.07,3521463.00
62,257.49,1042.56,268447.90,3320556.00
63,226.04,523.44,118318.97,1463542.00
64,226.04,493.36,111518.76,1379427.00
65,189.18,887.10,167817.49,2075812.00
66,189.18,1786.74,338006.78,4180962.00
67,243.18,209.34,50907.07,629693.00
68,243.18,303.90,73901.92,914127.00
69,193.46,950.16,183819.07,2273743.00
70,193.46,587.31,113620.87,1405429.00
71,47.54,40.23,1912.29,23654.00
72,47.54,23.48,1116.38,13809.00
