 ,Area,Mean,IntDen,RawIntDen
1,179.31,2632.67,472070.09,5839253.00
2,179.31,1437.66,257790.68,3188732.00
3,121.83,836.29,101886.73,1260284.00
4,121.83,545.75,66489.63,822441.00
5,162.90,675.41,110025.40,1360955.00
6,162.90,597.34,97308.11,1203649.00
7,156.43,698.65,109291.74,1351880.00
8,156.43,693.59,108501.08,1342100.00
9,111.81,1173.31,131185.25,1622691.00
10,111.81,1086.99,121534.23,1503313.00
11,144.31,891.95,128714.57,1592130.00
12,144.31,835.63,120586.65,1491592.00
13,173.17,1769.36,306397.81,3789976.00
14,173.17,1579.18,273463.55,3382597.00
15,142.61,535.29,76336.95,944247.00
16,142.61,438.05,62470.14,772722.00
17,173.73,828.81,143993.01,1781116.00
18,173.73,973.88,169196.61,2092871.00
19,149.32,956.66,142847.28,1766944.00
20,149.32,347.65,51911.39,642116.00
21,153.60,1027.23,157786.41,1951733.00
22,153.60,416.36,63954.28,791080.00
23,168.24,2303.21,387485.09,4792982.00
24,168.24,1182.55,198948.35,2460884.00
25,158.86,1321.75,209972.59,2597248.00
26,158.86,1066.30,169391.04,2095276.00
27,196.21,1452.56,285005.12,3525360.00
28,196.21,1509.06,296090.65,3662482.00
29,152.96,475.39,72715.05,899446.00
30,152.96,360.76,55180.49,682553.00
31,165.73,509.67,84468.51,1044830.00
32,165.73,328.76,54484.99,673950.00
33,122.72,845.13,103715.75,1282908.00
34,122.72,1069.41,131240.07,1623369.00
35,102.11,827.44,84486.78,1045056.00
36,102.11,794.02,81074.42,1002847.00
37,76.96,21.27,1637.26,20252.00
38,76.96,8.76,674.56,8344.00
