 ,Area,Mean,IntDen,RawIntDen
1,307.45,466.21,143337.28,1773005.00
2,307.45,436.98,134350.39,1661842.00
3,222.65,373.51,83159.72,1028641.00
4,222.65,815.03,181462.06,2244588.00
5,123.04,708.22,87143.24,1077915.00
6,123.04,579.74,71333.66,882359.00
7,184.08,459.12,84516.45,1045423.00
8,184.08,740.11,136241.98,1685240.00
9,165.25,1178.67,194770.48,2409206.00
10,165.25,1689.21,279134.62,3452745.00
11,251.10,1008.39,253208.19,3132049.00
12,251.10,1300.00,326432.07,4037789.00
13,195.48,1796.02,351087.79,4342767.00
14,195.48,2609.86,510180.00,6310652.00
15,265.49,1556.44,413222.10,5111335.00
16,265.49,1547.41,410826.44,5081702.00
17,228.14,816.11,186188.94,2303057.00
18,228.14,1281.74,292419.43,3617071.00
19,173.41,878.06,152264.51,1883430.00
20,173.41,1274.25,220969.11,2733269.00
21,174.79,871.86,152388.93,1884969.00
22,174.79,1246.98,217953.46,2695967.00
23,255.55,1976.08,504985.91,6246404.00
24,255.55,1625.85,415483.96,5139313.00
25,269.21,951.09,256044.20,3167129.00
26,269.21,1254.69,337777.59,4178127.00
27,236.07,387.85,91558.95,1132535.00
28,236.07,593.26,140047.00,1732306.00
29,195.48,861.27,168362.13,2082549.00
30,195.48,878.95,171818.06,2125297.00
31,167.27,444.34,74322.80,919333.00
32,167.27,382.40,63962.60,791183.00
33,207.45,404.85,83985.63,1038857.00
34,207.45,675.84,140199.55,1734193.00
35,85.13,29.75,2532.37,31324.00
36,85.13,29.58,2517.98,31146.00
