 ,Area,Mean,IntDen,RawIntDen
1,176.00,174.81,30766.50,380565.00
2,176.00,319.95,56310.37,696529.00
3,108.74,132.81,14441.37,178632.00
4,108.74,192.79,20963.56,259308.00
5,91.92,191.11,17566.97,217294.00
6,91.92,295.96,27204.34,336503.00
7,142.21,207.10,29451.16,364295.00
8,142.21,361.21,51365.29,635361.00
9,146.49,145.43,21303.43,263512.00
10,146.49,213.12,31219.87,386173.00
11,207.53,136.38,28302.85,350091.00
12,207.53,233.83,48525.80,600238.00
13,140.18,155.67,21822.37,269931.00
14,140.18,281.20,39419.66,487600.00
15,94.83,168.37,15966.18,197493.00
16,94.83,448.65,42545.83,526269.00
17,173.41,381.65,66182.18,818638.00
18,173.41,257.24,44608.17,551779.00
19,171.63,142.64,24482.15,302831.00
20,171.63,215.11,36919.96,456680.00
21,142.61,176.62,25187.68,311558.00
22,142.61,330.94,47195.75,583786.00
23,121.35,104.62,12695.78,157040.00
24,121.35,232.04,28157.41,348292.00
25,151.50,227.04,34396.40,425465.00
26,151.50,421.40,63843.68,789712.00
27,216.18,151.87,32831.58,406109.00
28,216.18,352.03,76100.40,941321.00
29,264.93,128.82,34128.24,422148.00
30,264.93,137.90,36534.17,451908.00
31,114.15,144.04,16442.11,203380.00
32,114.15,209.06,23865.14,295199.00
33,115.36,219.62,25336.43,313398.00
34,115.36,325.31,37529.85,464224.00
35,133.55,429.63,57378.89,709746.00
36,133.55,586.93,78387.16,969607.00
