 ,Area,Mean,IntDen,RawIntDen
1,120.13,132.12,15872.07,196329.00
2,120.13,406.22,48800.99,603642.00
3,185.86,154.71,28754.61,355679.00
4,185.86,360.91,67079.56,829738.00
5,247.46,116.54,28839.98,356735.00
6,247.46,432.70,107079.03,1324510.00
7,119.16,298.71,35595.16,440293.00
8,119.16,1354.25,161378.32,1996163.00
9,184.08,178.52,32862.95,406497.00
10,184.08,511.10,94084.21,1163771.00
11,269.53,453.65,122274.52,1512470.00
12,269.53,1095.48,295269.51,3652325.00
13,225.56,252.49,56951.06,704454.00
14,225.56,655.11,147763.50,1827755.00
15,151.99,122.87,18674.22,230990.00
16,151.99,314.96,47869.58,592121.00
17,226.12,172.36,38973.97,482087.00
18,226.12,438.64,99185.56,1226872.00
19,86.42,106.06,9165.64,113374.00
20,86.42,561.81,48553.12,600576.00
21,179.23,194.10,34788.50,430315.00
22,179.23,652.37,116924.97,1446299.00
23,257.33,169.76,43684.52,540354.00
24,257.33,442.18,113784.58,1407454.00
25,223.70,102.54,22937.05,283719.00
26,223.70,342.73,76666.71,948326.00
27,49.80,27.97,1392.78,17228.00
28,49.80,56.50,2813.87,34806.00
