 ,Area,Mean,IntDen,RawIntDen
1,188.77,2495.21,471024.61,5826321.00
2,188.77,2525.80,476798.59,5897742.00
3,239.70,979.79,234859.93,2905091.00
4,239.70,836.65,200547.29,2480662.00
5,218.04,769.86,167857.91,2076312.00
6,218.04,702.36,153141.42,1894277.00
7,146.25,757.87,110837.08,1370995.00
8,146.25,527.35,77123.65,953978.00
9,250.05,800.10,200067.07,2474722.00
10,250.05,607.87,151998.69,1880142.00
11,56.51,1013.90,57295.62,708716.00
12,56.51,991.96,56055.87,693381.00
13,182.87,741.32,135565.48,1676872.00
14,182.87,791.75,144786.41,1790930.00
15,199.36,763.65,152242.44,1883157.00
16,199.36,988.71,197112.05,2438170.00
17,240.27,2016.66,484540.00,5993499.00
18,240.27,1848.16,444055.29,5492725.00
19,217.63,1133.38,246661.58,3051071.00
20,217.63,1012.43,220338.20,2725465.00
21,256.68,1962.18,503652.95,6229916.00
22,256.68,1723.08,442280.76,5470775.00
23,172.52,2119.51,365660.77,4523027.00
24,172.52,1549.34,267294.89,3306294.00
25,205.83,654.94,134805.38,1667470.00
26,205.83,723.00,148814.72,1840758.00
27,175.27,1361.38,238609.65,2951473.00
28,175.27,1559.37,273310.76,3380707.00
29,235.42,715.68,168485.18,2084071.00
30,235.42,592.91,139582.63,1726562.00
31,192.49,804.01,154763.32,1914339.00
32,192.49,790.97,152254.48,1883306.00
33,149.08,1146.94,170981.65,2114951.00
34,149.08,863.17,128678.52,1591684.00
35,239.54,1195.45,286360.48,3542125.00
36,239.54,1695.32,406099.24,5023229.00
37,185.38,2651.03,491437.55,6078818.00
38,185.38,1838.88,340883.54,4216546.00
39,149.56,2288.59,342285.87,4233892.00
40,149.56,1617.62,241934.62,2992601.00
41,176.16,822.82,144948.50,1792935.00
42,176.16,638.71,112514.27,1391741.00
43,201.71,1014.57,204644.96,2531348.00
44,201.71,1547.01,312041.30,3859783.00
45,181.17,901.15,163262.80,2019473.00
46,181.17,601.72,109014.69,1348453.00
47,154.49,276.78,42760.31,528922.00
48,154.49,490.81,75827.07,937940.00
49,55.22,43.62,2408.43,29791.00
50,55.22,53.92,2977.01,36824.00
