 ,Area,Mean,IntDen,RawIntDen
1,206.31,1911.77,394425.16,4878827.00
2,206.31,1439.26,296941.13,3673002.00
3,197.02,593.88,117004.36,1447281.00
4,197.02,1549.23,305224.52,3775463.00
5,243.10,486.37,118237.00,1462528.00
6,243.10,881.14,214203.98,2649588.00
7,207.45,1487.55,308587.23,3817058.00
8,207.45,1184.76,245773.83,3040090.00
9,156.27,663.70,103717.20,1282926.00
10,156.27,614.71,96062.71,1188244.00
11,166.78,1059.90,176771.64,2186570.00
12,166.78,1637.58,273118.35,3378327.00
13,217.63,555.87,120974.79,1496393.00
14,217.63,1507.97,328183.23,4059450.00
15,162.42,2019.72,328035.53,4057623.00
16,162.42,1601.06,260037.99,3216530.00
17,206.56,516.48,106682.17,1319601.00
18,206.56,781.52,161428.69,1996786.00
19,239.70,773.45,185397.88,2293272.00
20,239.70,1029.45,246763.28,3052329.00
21,222.73,1227.50,273396.86,3381772.00
22,222.73,1786.10,397811.00,4920708.00
23,229.84,708.26,162787.03,2013588.00
24,229.84,1387.65,318938.05,3945092.00
25,176.48,518.29,91469.22,1131425.00
26,176.48,794.95,140295.51,1735380.00
27,199.28,1201.59,239454.64,2961925.00
28,199.28,1150.99,229370.37,2837188.00
29,205.43,793.99,163105.32,2017525.00
30,205.43,1126.23,231355.90,2861748.00
31,155.63,1070.15,166542.33,2060039.00
32,155.63,893.34,139025.94,1719676.00
33,165.65,1052.44,174336.69,2156451.00
34,165.65,1730.30,286624.11,3545386.00
35,138.08,828.57,114410.56,1415197.00
36,138.08,751.04,103705.32,1282779.00
37,172.12,573.80,98760.80,1221618.00
38,172.12,948.88,163318.18,2020158.00
39,214.40,318.68,68325.12,845145.00
40,214.40,817.33,175235.43,2167568.00
41,180.77,488.11,88234.07,1091408.00
42,180.77,491.63,88870.16,1099276.00
43,193.14,831.01,160498.98,1985286.00
44,193.14,1034.67,199832.22,2471817.00
45,198.07,1025.96,203211.02,2513611.00
46,198.07,1012.28,200500.15,2480079.00
47,205.34,733.71,150662.90,1863619.00
48,205.34,737.92,151528.50,1874326.00
49,215.29,1073.81,231179.34,2859564.00
50,215.29,929.04,200012.34,2474045.00
51,187.64,809.47,151888.26,1878776.00
52,187.64,1181.50,221695.82,2742258.00
53,210.03,1433.18,301014.95,3723393.00
54,210.03,1082.06,227268.58,2811190.00
55,252.88,1458.47,368818.39,4562085.00
56,252.88,1196.10,302469.67,3741387.00
57,223.29,863.86,192891.90,2385969.00
58,223.29,1281.81,286218.27,3540366.00
59,207.69,691.54,143626.14,1776578.00
60,207.69,1027.22,213342.91,2638937.00
61,103.24,1322.19,136500.93,1688443.00
62,103.24,1543.24,159321.24,1970718.00
63,189.82,887.68,168502.16,2084281.00
64,189.82,1557.94,295732.67,3658054.00
65,277.70,464.21,128910.86,1594558.00
66,277.70,790.55,219536.87,2715553.00
67,182.95,813.09,148755.95,1840031.00
68,182.95,1248.29,228375.98,2824888.00
69,236.15,468.07,110533.10,1367235.00
70,236.15,839.47,198238.21,2452100.00
71,266.79,1639.75,437461.88,5411168.00
72,266.79,1235.43,329594.78,4076910.00
73,63.46,27.13,1721.98,21300.00
74,63.46,32.62,2070.26,25608.00
