 ,Area,Mean,IntDen,RawIntDen
1,252.315,1910.939,482158.486,5964041.000
2,252.315,2070.179,522337.194,6461030.000
3,231.134,1308.423,302420.756,3740782.000
4,231.134,1579.757,365135.125,4516525.000
5,128.057,1253.246,160487.338,1985142.000
6,128.057,1422.614,182176.074,2253420.000
7,221.756,660.937,146566.522,1812949.000
8,221.756,970.572,215229.978,2662279.000
9,170.339,1827.290,311258.569,3850101.000
10,170.339,1514.053,257902.085,3190110.000
11,185.780,757.207,140673.945,1740061.000
12,185.780,706.559,131264.643,1623673.000
13,103.804,624.720,64848.415,802140.000
14,103.804,960.116,99663.915,1232789.000
15,126.925,551.652,70018.729,866094.000
16,126.925,632.001,80216.990,992241.000
17,203.808,1024.267,208754.272,2582178.000
18,203.808,1127.186,229729.881,2841635.000
19,208.578,1772.950,369798.626,4574210.000
20,208.578,2148.978,448229.848,5544362.000
21,221.352,1138.864,252089.302,3118209.000
22,221.352,1089.403,241141.048,2982785.000
23,132.019,284.860,37606.810,465176.000
24,132.019,226.551,29908.981,369958.000
25,128.704,300.818,38716.559,478903.000
26,128.704,321.198,41339.470,511347.000
27,258.136,2448.751,632110.119,7818862.000
28,258.136,2059.571,531648.756,6576209.000
29,171.713,970.813,166701.351,2062006.000
30,171.713,923.070,158503.258,1960600.000
31,231.700,1135.706,263142.652,3254933.000
32,231.700,1434.301,332326.988,4110706.000
33,132.423,2309.468,305826.401,3782908.000
34,132.423,2087.938,276490.848,3420043.000
35,219.250,609.181,133562.722,1652099.000
36,219.250,1004.235,220178.132,2723485.000
37,211.246,507.491,107205.553,1326075.000
38,211.246,710.768,150146.872,1857236.000
39,176.160,484.683,85381.564,1056124.000
40,176.160,786.326,138518.961,1713405.000
41,196.937,478.082,94151.873,1164608.000
42,196.937,629.621,123995.370,1533756.000
43,228.951,1213.814,277903.844,3437521.000
44,228.951,1103.165,252570.729,3124164.000
45,176.806,1203.850,212848.468,2632821.000
46,176.806,1280.302,226365.547,2800020.000
47,193.460,702.239,135855.385,1680458.000
48,193.460,960.045,185730.554,2297387.000
49,283.359,602.132,170619.710,2110474.000
50,283.359,1033.087,292734.724,3620971.000
51,130.563,424.844,55469.107,686123.000
52,130.563,799.461,104380.370,1291129.000
53,106.472,511.506,54461.060,673654.000
54,106.472,847.000,90181.692,1115499.000
55,197.179,467.451,92171.593,1140113.000
56,197.179,607.751,119835.771,1482304.000
57,155.706,492.168,76633.487,947915.000
58,155.706,1084.471,168858.680,2088691.000
59,148.834,311.014,46289.564,572577.000
60,148.834,216.390,32206.252,398374.000
61,217.714,438.820,95537.058,1181742.000
62,217.714,455.830,99240.292,1227549.000
63,243.907,2180.314,531794.113,6578007.000
64,243.907,1945.520,474526.141,5869633.000
65,195.643,1247.079,243982.401,3017931.000
66,195.643,1229.631,240568.914,2975708.000
67,234.287,632.210,148118.408,1832145.000
68,234.287,656.933,153910.576,1903791.000
69,46.809,68.297,3196.905,39544.000
70,46.809,54.580,2554.840,31602.000
