 ,Area,Mean,IntDen,RawIntDen
1,213.99,1783.42,381641.50,4720700.00
2,213.99,1622.26,347155.12,4294122.00
3,171.23,498.93,85431.45,1056741.00
4,171.23,518.03,88702.08,1097197.00
5,127.17,250.32,31832.91,393756.00
6,127.17,391.51,49787.53,615845.00
7,270.75,1947.34,527237.17,6521640.00
8,270.75,1977.20,535322.88,6621656.00
9,155.46,483.02,75092.35,928852.00
10,155.46,773.07,120184.05,1486612.00
11,218.12,430.80,93966.01,1162309.00
12,218.12,281.31,61359.26,758981.00
13,205.75,817.34,168166.17,2080125.00
14,205.75,678.83,139669.13,1727632.00
15,200.66,526.70,105684.63,1307262.00
16,200.66,246.92,49546.78,612867.00
17,198.55,614.60,122031.66,1509466.00
18,198.55,698.22,138633.76,1714825.00
19,188.53,603.35,113748.52,1407008.00
20,188.53,660.36,124497.09,1539962.00
21,174.70,617.45,107871.06,1334307.00
22,174.70,791.36,138254.76,1710137.00
23,154.82,1268.47,196379.84,2429113.00
24,154.82,1529.51,236793.08,2929003.00
25,129.67,432.64,56102.84,693962.00
26,129.67,492.21,63827.03,789506.00
27,230.33,1775.00,408828.13,5056984.00
28,230.33,1171.56,269839.47,3337769.00
29,177.61,1231.63,218755.68,2705890.00
30,177.61,1513.72,268859.31,3325645.00
31,225.47,684.64,154367.99,1909449.00
32,225.47,520.91,117451.27,1452809.00
33,197.91,1657.18,327966.25,4056766.00
34,197.91,1093.61,216432.29,2677151.00
35,179.80,687.35,123584.03,1528668.00
36,179.80,880.30,158275.52,1957783.00
37,145.84,344.50,50243.58,621486.00
38,145.84,406.91,59344.86,734064.00
39,207.69,1772.04,368032.10,4552359.00
40,207.69,1256.72,261006.18,3228506.00
41,190.15,358.86,68235.95,844042.00
42,190.15,378.83,72032.64,891005.00
43,229.84,428.09,98392.07,1217057.00
44,229.84,153.61,35304.93,436703.00
45,159.34,396.83,63232.50,782152.00
46,159.34,217.29,34623.17,428270.00
47,177.45,684.64,121492.11,1502792.00
48,177.45,651.89,115680.70,1430908.00
49,159.67,2217.38,354043.37,4379326.00
50,159.67,2341.53,373865.34,4624513.00
51,215.53,1495.57,322340.46,3987178.00
52,215.53,1445.55,311560.68,3853838.00
53,85.69,24.19,2072.60,25637.00
54,85.69,15.54,1332.07,16477.00
